return_id,order_id,seller_id,customer_id,asin,program_type,market,claim_type,category,return_date,resolution_date,resolution_time_days,handling_time_minutes,refund_amount,tracking_status,buyer_seller_comm_flag,agent_code,fraud_probability,fraud_flag,fraud_reason,status
1,1,31,2547,ASIN000053,SAFE-T,EU,DNOTR,Books,2023-09-26,2023-10-05,9,4,82.38,Delivered,False,AG056,0.6650826580750869,1,DNOTR | HighSellerRefundRate,Resolved
103,496,875,3596,ASIN001558,OP,NAM,Damaged,Beauty,2024-04-30,2024-05-02,2,9,29.46,Delivered,True,AG015,0.3697937976166115,0,MinorIssue | NonReturnableCat,Resolved
104,501,924,2793,ASIN000984,SAFE-T,EU,MattDiff,Toys,2023-08-09,2023-08-13,4,5,6.77,Delivered,False,AG011,0.17312356614294458,0,MinorIssue | HighSellerRefundRate,Resolved
105,502,640,2819,ASIN001246,SAFE-T,NAM,Counterfeit,Books,2024-03-03,2024-03-08,5,4,388.1,Delivered,False,AG057,0.5188334289853875,1,Counterfeit | HighSellerRefundRate,Resolved
106,505,143,3077,ASIN000112,SAFE-T,NAM,Counterfeit,Beauty,2024-05-15,2024-05-19,4,3,0.0,Delivered,False,AG049,0.4053696662691722,0,Counterfeit | NonReturnableCat,Resolved
107,509,191,3221,ASIN001784,SAFE-T,NAM,Not As Described,Apparel,2023-08-28,2023-08-31,3,4,12.14,Delivered,True,AG077,0.17034217389347964,0,MinorIssue | HighSellerRefundRate,Resolved
108,515,925,2989,ASIN001095,OP,NAM,Not As Described,Toys,2024-09-23,2024-09-27,4,7,39.33,Delivered,True,AG026,0.311829102100589,0,MinorIssue | HighSellerRefundRate,Resolved
109,521,316,3333,ASIN000035,SAFE-T,EU,Damaged,Toys,2024-01-31,2024-02-02,2,5,32.83,Returned,True,AG078,0.17200558579588202,0,MinorIssue | HighSellerRefundRate,Resolved
110,522,322,1553,ASIN000784,SAFE-T,EU,Damaged,Apparel,2023-10-29,2023-11-01,3,4,9.29,Delivered,False,AG050,0.41812397631381365,0,MinorIssue | HighSellerRefundRate,Resolved
111,528,764,3797,ASIN000312,SAFE-T,EU,Wrong Item,Books,2024-09-03,2024-09-07,4,4,72.56,Returned,True,AG011,0.30227620313267467,0,WrongItem | HighSellerRefundRate,Resolved
112,529,74,4025,ASIN001311,SAFE-T,EU,DNOTR,Apparel,2023-11-20,2023-11-27,7,5,27.69,Returned,True,AG077,0.30813785856490283,0,DNOTR | HighSellerRefundRate,Resolved
113,542,354,3500,ASIN001082,OP,NAM,RNOTR,Electronics,2024-09-03,2024-09-09,6,17,27.32,Delivered,True,AG044,0.6652464757200311,1,RNOTR | Electronics,Resolved
114,551,712,138,ASIN000852,OTC,NAM,Damaged,Apparel,2023-04-05,2023-04-07,2,7,68.64,Returned,True,AG009,0.26026759683078443,0,MinorIssue | HighSellerRefundRate,Resolved
115,553,431,2701,ASIN001554,OTC,NAM,Not As Described,Electronics,2024-05-01,2024-05-04,3,8,25.84,Delivered,False,AG037,0.30579009634305887,0,MinorIssue | Electronics,Pending
116,554,685,4578,ASIN000814,SAFE-T,EU,MattDiff,Electronics,2023-10-10,2023-10-12,2,4,9.14,Delivered,True,AG021,0.3029166140820232,0,MinorIssue | Electronics,Resolved
117,555,786,300,ASIN000893,SAFE-T,EU,Counterfeit,Electronics,2024-05-28,2024-05-31,3,4,161.9,Returned,True,AG049,0.579471834305864,1,Counterfeit | Electronics,Resolved
118,560,301,3404,ASIN000442,SAFE-T,NAM,RNOTR,Books,2024-08-29,2024-09-05,7,3,211.43,Delivered,False,AG069,0.710278202687918,1,RNOTR | HighSellerRefundRate,Resolved
119,561,445,2092,ASIN000344,SAFE-T,EU,Wrong Item,Books,2023-10-20,2023-10-24,4,5,93.09,Returned,False,AG001,0.5182471720311329,1,WrongItem | HighSellerRefundRate,Resolved
120,562,739,547,ASIN001771,OP,NAM,Not As Described,Home & Kitchen,2023-06-11,2023-06-13,2,6,5.95,Returned,True,AG033,0.18323830849597667,0,MinorIssue | HighSellerRefundRate,Resolved
121,565,21,380,ASIN000610,OTC,EU,RNOTR,Toys,2024-09-15,2024-09-23,8,8,209.25,Delivered,True,AG067,0.6351892443519918,1,RNOTR | HighSellerRefundRate,Resolved
122,575,96,400,ASIN000993,SAFE-T,NAM,RNOTR,Electronics,2023-12-14,2023-12-19,5,2,80.59,Returned,True,AG032,0.5257706048487302,1,RNOTR | Electronics,Resolved
123,578,75,239,ASIN001305,OTC,EU,DNOTR,Books,2023-06-21,2023-06-26,5,8,3.08,Delivered,False,AG003,0.5536658912902348,1,DNOTR | HighSellerRefundRate,Resolved
124,583,133,2576,ASIN001772,OP,NAM,Not As Described,Beauty,2024-05-13,2024-05-15,2,15,0.0,Delivered,True,AG033,0.2813544475668908,0,MinorIssue | NonReturnableCat,Resolved
125,586,246,2090,ASIN000800,SAFE-T,EU,MattDiff,Apparel,2023-11-08,2023-11-10,2,5,4.38,Delivered,True,AG056,0.15712363556031594,0,MinorIssue | HighSellerRefundRate,Pending
126,588,112,556,ASIN000142,OTC,NAM,Not As Described,Misc,2023-11-04,2023-11-08,4,7,3.1,Delivered,True,AG063,0.3561888428063754,0,MinorIssue | NonReturnableCat,Resolved
127,593,610,3276,ASIN000283,OTC,EU,MattDiff,Electronics,2024-07-14,2024-07-17,3,8,34.63,Delivered,True,AG018,0.5765048058223461,1,MinorIssue | Electronics,Resolved
128,594,240,803,ASIN000085,SAFE-T,NAM,Damaged,Electronics,2023-02-28,2023-03-04,4,4,33.55,Delivered,True,AG008,0.32193168292991436,0,MinorIssue | Electronics,Resolved
129,597,594,846,ASIN000601,OTC,NAM,Not As Described,Apparel,2023-07-15,2023-07-18,3,7,36.72,Delivered,True,AG059,0.40455423970847787,0,MinorIssue | HighSellerRefundRate,Resolved
130,604,472,3499,ASIN001685,SAFE-T,EU,Damaged,Beauty,2023-01-28,2023-01-31,3,4,5.13,Delivered,True,AG079,0.35376998847055263,0,MinorIssue | NonReturnableCat,Resolved
131,607,898,2261,ASIN001953,OTC,EU,Wrong Item,Misc,2024-10-19,2024-10-24,5,6,0.0,Returned,True,AG072,0.40408701394767116,0,WrongItem | NonReturnableCat,Resolved
132,611,292,4968,ASIN000508,OTC,NAM,Counterfeit,Misc,2024-04-30,2024-05-05,5,8,0.0,Returned,True,AG070,0.43541429412761895,0,Counterfeit | NonReturnableCat,Resolved
133,619,890,3640,ASIN001098,OTC,NAM,MattDiff,Electronics,2023-08-16,2023-08-19,3,8,64.6,Delivered,True,AG002,0.5821246997507855,1,MinorIssue | Electronics,Pending
134,620,642,1914,ASIN000941,SAFE-T,NAM,Wrong Item,Apparel,2023-05-30,2023-06-04,5,4,1206.42,Delivered,True,AG078,0.4055248569091488,0,WrongItem | HighSellerRefundRate,Resolved
135,623,27,2546,ASIN000703,OTC,NAM,Damaged,Beauty,2024-05-08,2024-05-12,4,8,0.0,Delivered,True,AG058,0.26122836729239607,0,MinorIssue | NonReturnableCat,Resolved
136,624,677,3255,ASIN001564,OTC,NAM,RNOTR,Home & Kitchen,2023-10-21,2023-10-29,8,8,370.88,Returned,False,AG003,0.4738998757300322,0,RNOTR | HighSellerRefundRate,Pending
